ID	Name	Genes	Length
11	GO:0000028 ribosomal small subunit assembly	orf19.3276;orf19.4336;orf19.3087;orf19.5835;orf19.4149.1;orf19.4018;orf19.6975;orf19.2329.1;orf19.7048.1;orf19.6265.1;orf19.6598;orf19.413.1;orf19.6286.2	13
12	GO:0000032 cell wall mannoprotein biosynthetic process	orf19.2881;orf19.7391;orf19.5557;orf19.6190;orf19.4475;orf19.5658;orf19.7383;orf19.4494;orf19.6738;orf19.2343.1;orf19.1665;orf19.1010;orf19.1663;orf19.1390;orf19.3688;orf19.5171;orf19.4109;orf19.3622	18
13	GO:0000038 very long-chain fatty acid metabolic process	orf19.1288;orf19.3653;orf19.6007;orf19.3859;orf19.7043.1;orf19.6343;orf19.5157;orf19.908;orf19.640;orf19.3293;orf19.5156	11
14	GO:0000041 transition metal ion transport	orf19.1585;orf19.2369.1;orf19.4784;orf19.2069;orf19.1415;orf19.1395;orf19.655;orf19.1077;orf19.1534;orf19.2198;orf19.3227;orf19.930;orf19.4213;orf19.1816;orf19.6382;orf19.7077;orf19.7219;orf19.2501;orf19.1932;orf19.2312;orf19.7231;orf19.4802;orf19.5634;orf19.4720;orf19.4496;orf19.7089;orf19.2347;orf19.4215;orf19.1536;orf19.4328;orf19.2178;orf19.1263;orf19.2006.1;orf19.2179;orf19.3646;orf19.943;orf19.6814;orf19.3769;orf19.6948;orf19.701;orf19.3538;orf19.4843;orf19.5022;orf19.2270;orf19.3132;orf19.3117;orf19.1813;orf19.1930	48
15	GO:0000045 autophagosome assembly	orf19.3677;orf19.2848;orf19.4119;orf19.3764;orf19.2549;orf19.5249;orf19.3052;orf19.745;orf19.5974;orf19.4614;orf19.4993;orf19.3841;orf19.5033;orf19.6020;orf19.2698;orf19.5322;orf19.2982;orf19.5947	18
16	GO:0000052 citrulline metabolic process	orf19.5610;orf19.3221	2
17	GO:0000054 ribosomal subunit export from nucleus	orf19.3465;orf19.6346;orf19.3865;orf19.900;orf19.7397;orf19.3833;orf19.3034;orf19.4219;orf19.6242;orf19.1642;orf19.3062;orf19.3098;orf19.488;orf19.3603;orf19.5550;orf19.5493;orf19.4479;orf19.5732;orf19.4627;orf19.2237.1;orf19.2222;orf19.3463;orf19.5765;orf19.2473;orf19.1966;orf19.4401;orf19.2917;orf19.5710;orf19.706;orf19.2183;orf19.7101;orf19.1815;orf19.4542;orf19.7160;orf19.6362;orf19.2667;orf19.2820;orf19.6014;orf19.2934;orf19.6886;orf19.1649;orf19.1773;orf19.2709;orf19.5342.1;orf19.2973;orf19.2002;orf19.4987;orf19.2081;orf19.3015;orf19.3583;orf19.7384;orf19.7159;orf19.6367;orf19.2399;orf19.4906;orf19.5887;orf19.422;orf19.7433;orf19.7048.1;orf19.5299;orf19.5595;orf19.7650;orf19.4670;orf19.6260;orf19.7483;orf19.6171;orf19.5953;orf19.1555;orf19.6309;orf19.470;orf19.5184;orf19.6312;orf19.6648	73
18	GO:0000055 ribosomal large subunit export from nucleus	orf19.3465;orf19.6346;orf19.3865;orf19.900;orf19.7397;orf19.3833;orf19.4219;orf19.6242;orf19.1642;orf19.3062;orf19.3098;orf19.488;orf19.3603;orf19.5550;orf19.5732;orf19.4627;orf19.2222;orf19.5765;orf19.2473;orf19.4401;orf19.2917;orf19.5710;orf19.706;orf19.7101;orf19.4542;orf19.6362;orf19.2667;orf19.2820;orf19.6014;orf19.2934;orf19.6886;orf19.1773;orf19.5342.1;orf19.2973;orf19.2002;orf19.4987;orf19.2081;orf19.3015;orf19.7159;orf19.2399;orf19.4906;orf19.5887;orf19.422;orf19.7433;orf19.5299;orf19.5595;orf19.4670;orf19.6260;orf19.7483;orf19.6171;orf19.5953;orf19.1555;orf19.6309;orf19.470;orf19.6648	55
19	GO:0000056 ribosomal small subunit export from nucleus	orf19.900;orf19.488;orf19.4479;orf19.2237.1;orf19.5765;orf19.1966;orf19.2183;orf19.7160;orf19.5342.1;orf19.3583;orf19.7048.1;orf19.7650;orf19.6171;orf19.6312	14
20	GO:0000070 mitotic sister chromatid segregation	orf19.6670;orf19.3080;orf19.6034;orf19.4367;orf19.1367;orf19.1622;orf19.712;orf19.6537;orf19.964;orf19.3474;orf19.6163;orf19.5569;orf19.5335;orf19.2876;orf19.6851;orf19.955;orf19.5999;orf19.3356;orf19.3623;orf19.7308;orf19.1040;orf19.1251;orf19.3550;orf19.3231;orf19.2099;orf19.3459;orf19.1883	27
21	GO:0000073 initial mitotic spindle pole body separation	orf19.6789;orf19.1941;orf19.712;orf19.7377	4
22	GO:0000075 cell cycle checkpoint signaling	orf19.4206;orf19.7417;orf19.5166;orf19.2873;orf19.5954;orf19.926;orf19.2326;orf19.820;orf19.2641;orf19.643;orf19.4002;orf19.1185;orf19.5441;orf19.2655;orf19.4192;orf19.6573;orf19.7053;orf19.6915;orf19.3306;orf19.3474;orf19.4105;orf19.7402;orf19.366;orf19.1648;orf19.6913;orf19.5701;orf19.122;orf19.5335;orf19.658;orf19.5011;orf19.6080;orf19.4275;orf19.2534;orf19.976;orf19.2678;orf19.3476;orf19.6851;orf19.6810;orf19.1434;orf19.5485;orf19.7227;orf19.3000;orf19.4308;orf19.5242;orf19.5827;orf19.3561;orf19.4557;orf19.1468;orf19.6285;orf19.663;orf19.1507;orf19.1874;orf19.666;orf19.6936;orf19.2389;orf19.5101;orf19.7195;orf19.20;orf19.2365;orf19.5580;orf19.7035;orf19.1030;orf19.1040;orf19.245;orf19.3550;orf19.4867;orf19.1223;orf19.3001;orf19.3014;orf19.676;orf19.3697;orf19.6357;orf19.940;orf19.2728;orf19.7293;orf19.1283;orf19.6213;orf19.4136	78
23	GO:0000076 DNA replication checkpoint signaling	orf19.4206;orf19.5166;orf19.4105;orf19.658;orf19.1434;orf19.5485;orf19.3000;orf19.5242;orf19.3561;orf19.6285;orf19.6936;orf19.2389;orf19.5101;orf19.2365;orf19.7035;orf19.245;orf19.3014;orf19.2728;orf19.1283;orf19.4136	20
24	GO:0000077 DNA damage checkpoint signaling	orf19.4206;orf19.7417;orf19.2326;orf19.820;orf19.4002;orf19.6915;orf19.7402;orf19.366;orf19.1648;orf19.6913;orf19.5335;orf19.658;orf19.4275;orf19.2534;orf19.976;orf19.1434;orf19.5485;orf19.6285;orf19.666;orf19.6936;orf19.7195;orf19.2365;orf19.5580;orf19.245;orf19.3014;orf19.3697;orf19.2728;orf19.1283;orf19.6213	29
25	GO:0000079 regulation of cyclin-dependent protein serine/threonine kinase activity	orf19.7186;orf19.2649;orf19.6225;orf19.264;orf19.2538;orf19.3071;orf19.5755;orf19.6028;orf19.1960;orf19.6930;orf19.403;orf19.4542;orf19.1446;orf19.4012;orf19.5827;orf19.793;orf19.6146;orf19.4867;orf19.567;orf19.4390;orf19.3207	21
26	GO:0000082 G1/S transition of mitotic cell cycle	orf19.1674;orf19.4427;orf19.233.1;orf19.3944;orf19.4725;orf19.1960;orf19.7477;orf19.3854;orf19.5160;orf19.3415;orf19.3680;orf19.5200;orf19.3301;orf19.5242;orf19.6792;orf19.3561;orf19.3856;orf19.4906;orf19.3207;orf19.1683;orf19.2559	21
27	GO:0000083 regulation of transcription involved in G1/S transition of mitotic cell cycle	orf19.4545;orf19.2772;orf19.4725;orf19.3359;orf19.7067;orf19.1960;orf19.6801;orf19.327;orf19.5855;orf19.3301;orf19.6124;orf19.4438;orf19.7017;orf19.7136;orf19.5389;orf19.3469;orf19.3613;orf19.6719;orf19.5035;orf19.2889;orf19.6846;orf19.1730;orf19.504	23
28	GO:0000085 mitotic G2 phase	orf19.5004	1
29	GO:0000086 G2/M transition of mitotic cell cycle	orf19.1674;orf19.7186;orf19.6506;orf19.7201;orf19.1754;orf19.4427;orf19.2549;orf19.5388;orf19.5163;orf19.3071;orf19.5765;orf19.5001;orf19.2534;orf19.4988;orf19.4353;orf19.5325;orf19.3669;orf19.1446;orf19.4308;orf19.3856;orf19.6529;orf19.793;orf19.3300;orf19.4867;orf19.3641;orf19.2559;orf19.1668	27
30	GO:0000087 mitotic M phase	orf19.3071;orf19.3001	2
31	GO:0000089 mitotic metaphase	orf19.122	1
32	GO:0000093 mitotic telophase	orf19.122	1
33	GO:0000096 sulfur amino acid metabolic process	orf19.7152;orf19.2618;orf19.2988;orf19.2028;orf19.288;orf19.4099;orf19.5025;orf19.6402;orf19.1495;orf19.1559;orf19.4536;orf19.4306;orf19.6938;orf19.7611;orf19.1235;orf19.2947;orf19.386;orf19.946;orf19.1847;orf19.5811;orf19.1033;orf19.657;orf19.7297;orf19.2551;orf19.2876;orf19.539;orf19.2092;orf19.5645;orf19.2951;orf19.7314;orf19.99;orf19.2008;orf19.3106;orf19.1159;orf19.5312;orf19.2306;orf19.5321	37
34	GO:0000097 sulfur amino acid biosynthetic process	orf19.7152;orf19.2618;orf19.2988;orf19.2028;orf19.288;orf19.4099;orf19.6402;orf19.1495;orf19.1559;orf19.4536;orf19.4306;orf19.6938;orf19.7611;orf19.1235;orf19.2947;orf19.386;orf19.5811;orf19.2551;orf19.2876;orf19.2092;orf19.5645;orf19.2951;orf19.99;orf19.2008;orf19.3106;orf19.1159;orf19.2306;orf19.5321	28
35	GO:0000098 sulfur amino acid catabolic process	orf19.1847;orf19.539;orf19.7314	3
36	GO:0000101 sulfur amino acid transport	orf19.5280;orf19.321	2
37	GO:0000103 sulfate assimilation	orf19.4099;orf19.5025;orf19.7611;orf19.946;orf19.2876;orf19.99;orf19.3106;orf19.6780;orf19.4076;orf19.105	10
38	GO:0000105 histidine biosynthetic process	orf19.1249;orf19.1575;orf19.5639;orf19.5505;orf19.4026;orf19.6699;orf19.183;orf19.4177	8
39	GO:0000117 regulation of transcription involved in G2/M transition of mitotic cell cycle	orf19.6011;orf19.6801;orf19.5389	3
40	GO:0000122 negative regulation of transcription by RNA polymerase II	orf19.7247;orf19.1343;orf19.1059;orf19.6798;orf19.4545;orf19.3865;orf19.4801;orf19.2743;orf19.7397;orf19.139;orf19.4411;orf19.2095;orf19.4297;orf19.1032;orf19.6506;orf19.2747;orf19.6011;orf19.2711.1;orf19.7047;orf19.4342;orf19.2361;orf19.454;orf19.7652;orf19.1754;orf19.1377;orf19.736;orf19.2823;orf19.7355;orf19.808;orf19.5825;orf19.232;orf19.4295;orf19.2736;orf19.2423;orf19.3949;orf19.3552;orf19.5498;orf19.4278;orf19.4348;orf19.4627;orf19.4166;orf19.2842;orf19.1494;orf19.5268;orf19.794;orf19.2473;orf19.5755;orf19.2745;orf19.1451;orf19.1543;orf19.4318;orf19.6801;orf19.4497;orf19.2173;orf19.2876;orf19.6109;orf19.2545;orf19.6722;orf19.1621;orf19.5343;orf19.4145;orf19.7150;orf19.2236;orf19.1934;orf19.539;orf19.1759;orf19.6909;orf19.681;orf19.3319;orf19.1177;orf19.3669;orf19.7344;orf19.3912;orf19.1856;orf19.5210;orf19.3856;orf19.6285;orf19.6124;orf19.793;orf19.6291;orf19.4890;orf19.1773;orf19.7489.3;orf19.4590;orf19.5408;orf19.1150;orf19.5105;orf19.4615;orf19.239;orf19.6952;orf19.4438;orf19.4869;orf19.7025;orf19.6726;orf19.7136;orf19.1069;orf19.2287;orf19.4312;orf19.5849;orf19.6925;orf19.1757;orf19.3421.1;orf19.5196;orf19.3613;orf19.6734;orf19.4670;orf19.2099;orf19.1275;orf19.4242;orf19.2005;orf19.6009;orf19.7548;orf19.7492;orf19.4225;orf19.1854;orf19.2432;orf19.5651;orf19.5940;orf19.3201;orf19.6846;orf19.1051;orf19.1358;orf19.7238;orf19.2606;orf19.5541;orf19.610;orf19.10708	127
41	GO:0000128 flocculation	orf19.2444;orf19.454;orf19.30;orf19.2209;orf19.3523;orf19.5742;orf19.3969;orf19.5741;orf19.610	9
42	GO:0000132 establishment of mitotic spindle orientation	orf19.3248;orf19.2641;orf19.1185;orf19.3976;orf19.7353;orf19.4927;orf19.5999;orf19.5015;orf19.486;orf19.5410;orf19.1936	11
43	GO:0000147 actin cortical patch assembly	orf19.5671;orf19.5357;orf19.7201;orf19.886;orf19.1444;orf19.2699;orf19.6598;orf19.1474;orf19.738	9
44	GO:0000154 rRNA modification	orf19.1528;orf19.1753;orf19.2604;orf19.512;orf19.7601;orf19.2575;orf19.7366;orf19.526;orf19.1966;orf19.3114;orf19.501;orf19.182;orf19.3630;orf19.3585;orf19.1833;orf19.596.1;orf19.3138;orf19.5010;orf19.665;orf19.76	20
45	GO:0000160 phosphorelay signal transduction system	orf19.4443;orf19.971;orf19.3256;orf19.7044;orf19.896;orf19.5181;orf19.3775;orf19.5031;orf19.5843	9
46	GO:0000161 osmosensory signaling MAPK cascade	orf19.3775;orf19.5531;orf19.844;orf19.1636	4
47	GO:0000162 tryptophan biosynthetic process	orf19.1575;orf19.3099;orf19.2546;orf19.4718;orf19.6096;orf19.5243	6
48	GO:0000165 MAPK cascade	orf19.1032;orf19.2886;orf19.1196;orf19.7523;orf19.5162;orf19.3775;orf19.5224;orf19.6889;orf19.5531;orf19.844;orf19.1636;orf19.895;orf19.469;orf19.4242	14
49	GO:0000183 rDNA heterochromatin formation	orf19.7176;orf19.96;orf19.2361;orf19.2580;orf19.5416;orf19.1992;orf19.4375;orf19.6684;orf19.5722;orf19.2545;orf19.6291;orf19.2331;orf19.7401;orf19.4301;orf19.3613;orf19.5651;orf19.7663;orf19.4617;orf19.2606	19
50	GO:0000184 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	orf19.4045;orf19.5277;orf19.864;orf19.4582;orf19.1525;orf19.6425;orf19.1932;orf19.4848;orf19.939;orf19.387;orf19.4969;orf19.171;orf19.7626;orf19.7368;orf19.5764	15
51	GO:0000196 cell wall integrity MAPK cascade	orf19.1196;orf19.7523;orf19.5162;orf19.5224;orf19.6889;orf19.844;orf19.469	7
52	GO:0000209 protein polyubiquitination	orf19.6055;orf19.3628;orf19.7571;orf19.5660;orf19.3944;orf19.5245;orf19.6864;orf19.4577;orf19.7347;orf19.5094;orf19.5942;orf19.4628;orf19.976;orf19.4106;orf19.2379;orf19.2697;orf19.933;orf19.3301;orf19.6529;orf19.6358;orf19.5337;orf19.2097;orf19.4629;orf19.4191.1;orf19.7195;orf19.6821;orf19.5965;orf19.3546;orf19.3237;orf19.4540;orf19.2695	31
53	GO:0000212 meiotic spindle organization	orf19.6010;orf19.4192;orf19.3545	3
54	GO:0000226 microtubule cytoskeleton organization	orf19.3248;orf19.5551;orf19.3551;orf19.564;orf19.4715;orf19.6789;orf19.6610;orf19.6034;orf19.6010;orf19.2641;orf19.2340;orf19.1185;orf19.3976;orf19.7353;orf19.1367;orf19.4192;orf19.2437;orf19.712;orf19.5163;orf19.3474;orf19.2286;orf19.1428;orf19.1448.1;orf19.2828;orf19.3534;orf19.7477;orf19.5011;orf19.7377;orf19.4927;orf19.1238;orf19.5325;orf19.5999;orf19.596.2;orf19.5015;orf19.6792;orf19.3856;orf19.5087;orf19.3788;orf19.4413;orf19.6933;orf19.6170;orf19.4675;orf19.486;orf19.4837;orf19.5008.1;orf19.7308;orf19.2600;orf19.4473;orf19.1223;orf19.3001;orf19.5410;orf19.1747;orf19.4435;orf19.676;orf19.1482;orf19.3545;orf19.2434;orf19.7293;orf19.708;orf19.1936;orf19.3871	61
55	GO:0000244 spliceosomal tri-snRNP complex assembly	orf19.2563;orf19.144;orf19.6442	3
56	GO:0000245 spliceosomal complex assembly	orf19.135;orf19.2563;orf19.5391;orf19.4724;orf19.1045;orf19.5828;orf19.7265;orf19.2675;orf19.5767;orf19.2230;orf19.1453;orf19.7581	12
57	GO:0000255 allantoin metabolic process	orf19.313;orf19.2065;orf19.5454;orf19.3986;orf19.360;orf19.1421	6
58	GO:0000256 allantoin catabolic process	orf19.313;orf19.2065;orf19.5454;orf19.3986;orf19.360;orf19.1421	6
59	GO:0000266 mitochondrial fission	orf19.6987;orf19.4715;orf19.7264;orf19.3462;orf19.6639;orf19.7111	6
60	GO:0000271 polysaccharide biosynthetic process	orf19.1011;orf19.3110;orf19.5557;orf19.1738;orf19.4771;orf19.2929;orf19.851;orf19.3693;orf19.290;orf19.2495;orf19.942;orf19.6081;orf19.1036;orf19.6692;orf19.4719;orf19.4377;orf19.3269;orf19.4035;orf19.348;orf19.5622;orf19.2957;orf19.744;orf19.2334;orf19.849;orf19.2347;orf19.974;orf19.1995;orf19.3282;orf19.2843;orf19.4874;orf19.640;orf19.3325;orf19.2638;orf19.3803;orf19.2958;orf19.5058;orf19.2013;orf19.3278;orf19.7362;orf19.7363;orf19.3286;orf19.5861;orf19.2841;orf19.6782	44
61	GO:0000272 polysaccharide catabolic process	orf19.1719;orf19.2952;orf19.2838;orf19.744;orf19.7021;orf19.3417	6
62	GO:0000278 mitotic cell cycle	orf19.4616;orf19.564;orf19.91;orf19.5776;orf19.6010;orf19.59;orf19.4427;orf19.2216;orf19.6874;orf19.6891;orf19.4192;orf19.5004;orf19.6046;orf19.6155;orf19.1555;orf19.708	16
63	GO:0000279 M phase	orf19.3071;orf19.3001	2
64	GO:0000280 nuclear division	orf19.5954;orf19.3965;orf19.4492;orf19.3680;orf19.1446;orf19.6243;orf19.7308;orf19.1223;orf19.1672;orf19.4257	10
65	GO:0000281 mitotic cytokinesis	orf19.3013;orf19.3873;orf19.5691;orf19.5528;orf19.5376;orf19.548;orf19.17;orf19.2622;orf19.2642;orf19.5015;orf19.1055;orf19.5664;orf19.2832;orf19.6414.3;orf19.3545;orf19.6294	16
66	GO:0000282 cellular bud site selection	orf19.5292;orf19.7359;orf19.6787;orf19.7079;orf19.4349;orf19.2190;orf19.5903;orf19.886;orf19.807;orf19.6362;orf19.4927;orf19.5919;orf19.3174;orf19.3765;orf19.5087;orf19.1835;orf19.7586;orf19.1842;orf19.3088;orf19.4242;orf19.2180;orf19.1418;orf19.4257;orf19.738;orf19.7342;orf19.2614;orf19.4855;orf19.940	28
67	GO:0000288 nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	orf19.145;orf19.1378;orf19.5381;orf19.1084;orf19.1795;orf19.5101;orf19.1802;orf19.7290;orf19.4262;orf19.6075	10
68	GO:0000289 nuclear-transcribed mRNA poly(A) tail shortening	orf19.4010;orf19.1084;orf19.2012;orf19.5734;orf19.5107;orf19.7198;orf19.2973;orf19.5101;orf19.4764;orf19.6075	10
69	GO:0000290 deadenylation-dependent decapping of nuclear-transcribed mRNA	orf19.639;orf19.2012;orf19.7034;orf19.6373;orf19.6901;orf19.6197;orf19.5107;orf19.3792;orf19.7290;orf19.423;orf19.6075	11
70	GO:0000291 nuclear-transcribed mRNA catabolic process, exonucleolytic	orf19.5277;orf19.4078;orf19.6230;orf19.864;orf19.4681;orf19.4582;orf19.5734;orf19.1304;orf19.6259;orf19.6425;orf19.4848;orf19.939;orf19.3347;orf19.1026;orf19.5764	15
71	GO:0000294 nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	orf19.4168;orf19.5567;orf19.2404;orf19.275;orf19.4962;orf19.3796;orf19.7657;orf19.1029	8
72	GO:0000296 spermine transport	orf19.473;orf19.4737;orf19.3415;orf19.6577	4
73	GO:0000301 retrograde transport, vesicle recycling within Golgi	orf19.6880;orf19.3166;orf19.4440;orf19.714;orf19.2822	5
74	GO:0000302 response to reactive oxygen species	orf19.971;orf19.7417;orf19.1623;orf19.5219;orf19.7611;orf19.7523;orf19.2473;orf19.2062;orf19.2146;orf19.6447;orf19.6229;orf19.2060;orf19.5031;orf19.4754;orf19.518;orf19.5059;orf19.5742;orf19.2175;orf19.584;orf19.779;orf19.238	21
75	GO:0000303 response to superoxide	orf19.2062;orf19.2060	2
76	GO:0000304 response to singlet oxygen	orf19.971;orf19.1623;orf19.2175	3
77	GO:0000305 response to oxygen radical	orf19.2062;orf19.2060	2
78	GO:0000316 sulfite transport	orf19.7313;orf19.6520	2
79	GO:0000320 re-entry into mitotic cell cycle	orf19.4471;orf19.6028;orf19.4867;orf19.3978;orf19.3697;orf19.7321	6
80	GO:0000321 re-entry into mitotic cell cycle after pheromone arrest	orf19.4471;orf19.6028;orf19.3978;orf19.3697;orf19.7321	5
81	GO:0000338 protein deneddylation	orf19.3930;orf19.3371;orf19.353;orf19.6272;orf19.4032	5
82	GO:0000348 mRNA branch site recognition	orf19.6347;orf19.5828;orf19.6831	3
83	GO:0000349 generation of catalytic spliceosome for first transesterification step	orf19.1045;orf19.5865;orf19.6740;orf19.2105;orf19.5465;orf19.2893;orf19.144;orf19.2980	8
84	GO:0000350 generation of catalytic spliceosome for second transesterification step	orf19.6347;orf19.5513;orf19.6827;orf19.2112;orf19.6685;orf19.2818;orf19.4033;orf19.6442;orf19.4799	9
85	GO:0000354 cis assembly of pre-catalytic spliceosome	orf19.332	1
86	GO:0000372 Group I intron splicing	orf19.4519;orf19.4739;orf19.5705;orf19.2513;orf19.1794	5
87	GO:0000373 Group II intron splicing	orf19.4739	1
88	GO:0000375 RNA splicing, via transesterification reactions	orf19.1548;orf19.4374;orf19.4519;orf19.4748;orf19.910;orf19.763;orf19.514;orf19.329;orf19.7375;orf19.1876;orf19.6356;orf19.6458.1;orf19.2400;orf19.3178;orf19.4659;orf19.672;orf19.7139;orf19.5391;orf19.1281;orf19.5885;orf19.2112;orf19.1260;orf19.4146;orf19.674;orf19.1045;orf19.444;orf19.7673;orf19.6740;orf19.2105;orf19.1491;orf19.5828;orf19.7265;orf19.6360;orf19.53;orf19.6831;orf19.6135.1;orf19.7620;orf19.5364;orf19.6866;orf19.387;orf19.2675;orf19.4875;orf19.4062;orf19.144;orf19.3945;orf19.3506;orf19.3774.1;orf19.3947;orf19.2230;orf19.2639.1;orf19.4964;orf19.1771;orf19.7256;orf19.4326;orf19.7509.2;orf19.4739;orf19.5705;orf19.7581;orf19.1975;orf19.2513;orf19.4305.1;orf19.2261;orf19.1794;orf19.5413;orf19.4855;orf19.6271;orf19.1492;orf19.4205.1;orf19.5647;orf19.3666;orf19.5492;orf19.7238;orf19.3250;orf19.5541;orf19.4799	75
89	GO:0000376 RNA splicing, via transesterification reactions with guanosine as nucleophile	orf19.4519;orf19.4739;orf19.5705;orf19.2513;orf19.1794	5
